run_id,Sample_name
3BNGF5_1,PMG_Untreated_48-72h_R1
3BNGF5_2,PMG_Untreated_48-72h_R2
3BNGF5_3,PMG_LipoOnly_48-72h_R1
3BNGF5_4,PMG_LipoOnly_48-72h_R2
3BNGF5_5,PMG_siSTAT1_1_48-72h_R1
3BNGF5_6,PMG_siSTAT1_1_48-72h_R2
3BNGF5_7,PMG_siSTAT1_3_48-72h_R1
3BNGF5_8,PMG_siSTAT1_3_48-72h_R2
