run_id,Sample_name
BN4GZZ_1,HMC3_Lipo_24h_R3
BN4GZZ_2,HMC3_Lipo_24h_R4
BN4GZZ_3,HMC3_siSTAT1_1_24h_R3
BN4GZZ_4,HMC3_siSTAT1_1_24h_R4
BN4GZZ_5,HMC3_siSTAT1_3_24h_R3
BN4GZZ_6,HMC3_siSTAT1_3_24h_R4
